Mod Loading Profiling Results:
   Constructing
      moreoverlays: 22ms
      inventorytweaks: 21ms
      journeymap: 20ms
      worldstripper: 20ms
      mputils: 20ms
      vanillasatchels: 17ms
      betterbuilderswands: 17ms
      solcarrot: 17ms
      supersoundmuffler: 17ms
      elevatorid: 17ms
      mpbasic: 16ms
      forgelin: 15ms
      inworldcrafting: 13ms
      universaltweaks: 13ms
      controlling: 13ms
      applecore: 12ms
      enderiopowertools: 12ms
      modelloader: 12ms
      stonechest: 12ms
      enderioinvpanel: 10ms
      rsgauges: 9ms
      ctgui: 9ms
      forbidden_arcanus: 9ms
      craftingtweaks: 9ms
      xencraft: 8ms
      craftingstation: 8ms
      netherchest: 8ms
      enderiointegrationforestry: 7ms
      vaultopic: 7ms
      valkyrie: 7ms
      jee: 7ms
      appleskin: 7ms
      waddles: 7ms
      immersivecables: 6ms
      simple_trophies: 6ms
      loliasm: 5ms
      extraanvils: 5ms
      teslacorelib_registries: 4ms
      blockdrops: 4ms
      redstoneflux: 4ms
      cucumber: 4ms
      ftbbackups: 3ms
      placebo: 3ms
      defaultoptions: 3ms
      vintagefix: 3ms
      enderioendergy: 3ms
      modnametooltip: 3ms
      chameleon: 3ms
      bnbgaminglib: 3ms
      tipthescales: 2ms
      waterstrainer: 2ms
      autoreglib: 2ms
      bookshelf: 2ms
      alib: 2ms
      jeiintegration: 2ms
      morecharcoal: 2ms
      gunpowderlib: 1ms
      reauth: 1ms
      morpheus: 1ms
      naturestopography: 1ms
      loottweaker: 1ms
      ding: 1ms
      kleeslabs: 1ms
   Initialization
      astralsorcery: 865ms
      pyrotech: 608ms
      journeymap: 602ms
      inventorytweaks: 598ms
      immersiveengineering: 566ms
      spark: 466ms
      enderio: 425ms
      magneticraft: 391ms
      mekanism: 373ms
      enderiomachines: 205ms
      enderioinvpanel: 170ms
      tetra: 163ms
      nuclearcraft: 158ms
      endercore: 155ms
      industrialforegoing: 153ms
      mputils: 148ms
      unidict: 143ms
      actuallyadditions: 138ms
      appliedenergistics2: 133ms
      mysticalworld: 132ms
      naturesaura: 115ms
      mpbasic: 115ms
      inspirations: 106ms
      ae2stuff: 97ms
      enderioconduits: 87ms
      vanillafoodpantry: 86ms
      alchemistry: 82ms
      roots: 74ms
      enderiopowertools: 71ms
      skyresources: 61ms
      cookingforblockheads: 45ms
      quark: 43ms
      mousetweaks: 41ms
      chiselsandbits: 39ms
      pickletweaks: 39ms
      carryon: 35ms
      universaltweaks: 35ms
      arcanearchives: 33ms
      craftingtweaks: 31ms
      ftbutilities: 31ms
      waterstrainer: 31ms
      tombstone: 30ms
      integrationforegoing: 30ms
      storagedrawers: 29ms
      smoothfont: 27ms
      appleskin: 25ms
      buildinggadgets: 24ms
      artisanworktables: 21ms
      randompatches: 19ms
      codechickenlib: 19ms
      loottweaker: 19ms
      hwell: 18ms
      forbidden_arcanus: 18ms
      openglider: 17ms
      teslacorelib: 17ms
      patchouli: 17ms
      bookshelf: 16ms
      theoneprobe: 16ms
      headcrumbs: 14ms
      valkyrie: 14ms
      vanillasatchels: 12ms
      betterbuilderswands: 12ms
      bonsaitrees: 10ms
      jei: 9ms
      rsgauges: 9ms
      bdlib: 9ms
      moreoverlays: 9ms
      mechanics: 9ms
      supersoundmuffler: 8ms
      classicbar: 8ms
      modnametooltip: 8ms
      rustic: 7ms
      mantle: 7ms
      hearthstones: 7ms
      essentials: 7ms
      crafttweaker: 7ms
      cucumber: 6ms
      applecore: 6ms
      base: 6ms
      rebind_narrator: 6ms
      darkutils: 6ms
      vaultopic: 5ms
      recipestages: 5ms
      crafttweakerjei: 5ms
      contenttweaker: 5ms
      morecharcoal: 5ms
      speedyhoppers: 4ms
      extraanvils: 4ms
      speedyladders: 4ms
      deepmoblearning: 4ms
      reactorbuilder: 3ms
      netherchest: 3ms
      xencraft: 2ms
      cofhcore: 2ms
      chisel: 2ms
      baubles: 2ms
      telepastries: 2ms
      topography: 2ms
      teslacorelib_registries: 2ms
      discordcraft: 1ms
   PostInitialization
      immersiveengineering: 1013ms
      crafttweaker: 975ms
      journeymap: 721ms
      deepmoblearning: 677ms
      appliedenergistics2: 466ms
      astralsorcery: 323ms
      bonsaitrees: 248ms
      unidict: 204ms
      solcarrot: 151ms
      ftbquests: 146ms
      actuallyadditions: 143ms
      cookingforblockheads: 125ms
      scavenge: 120ms
      nuclearcraft: 113ms
      enderio: 105ms
      alchemistry: 101ms
      industrialforegoing: 85ms
      quark: 63ms
      rustic: 59ms
      tetra: 57ms
      pickletweaks: 56ms
      placebo: 55ms
      blockdrops: 40ms
      chiselsandbits: 40ms
      classicbar: 40ms
      smoothfont: 39ms
      cofhcore: 38ms
      rsgauges: 37ms
      inspirations: 35ms
      ftblib: 35ms
      mekanism: 34ms
      waterstrainer: 34ms
      universaltweaks: 30ms
      teslacorelib: 22ms
      reactorbuilder: 17ms
      vaultopic: 16ms
      kleeslabs: 13ms
      architecturecraft: 12ms
      xnet: 12ms
      naturesaura: 11ms
      endercore: 10ms
      vintagefix: 10ms
      moreoverlays: 10ms
      endertweaker: 9ms
      ftbutilities: 9ms
      inventorytweaks: 8ms
      mantle: 8ms
      tombstone: 7ms
      defaultoptions: 7ms
      headcrumbs: 7ms
      roots: 7ms
      integrationforegoing: 7ms
      craftingtweaks: 6ms
      morpheus: 6ms
      base: 5ms
      teslacorelib_registries: 5ms
      buildinggadgets: 4ms
      initialinventory: 4ms
      valkyrie: 4ms
      jeiintegration: 4ms
      topography: 4ms
      betterbuilderswands: 3ms
      pyrotech: 3ms
      cucumber: 3ms
      artisanworktables: 2ms
      codechickenlib: 1ms
      loliasm: 1ms
      theoneprobe: 1ms
      ae2stuff: 1ms
      forge: 1ms
      skyresources: 1ms
   Total Time
      astralsorcery: 4955ms
      enderio: 4007ms
      quark: 3388ms
      crafttweaker: 2957ms
      immersiveengineering: 2856ms
      pyrotech: 2358ms
      appliedenergistics2: 1994ms
      journeymap: 1367ms
      FML: 1340ms
      nuclearcraft: 1204ms
      mekanism: 1150ms
      forgelin: 987ms
      deepmoblearning: 808ms
      mysticallib: 793ms
      teslacorelib: 760ms
      industrialforegoing: 760ms
      vanillafoodpantry: 650ms
      inventorytweaks: 642ms
      codechickenlib: 638ms
      magneticraft: 632ms
      enderiomachines: 627ms
      roots: 600ms
      jei: 597ms
      naturesaura: 592ms
      ae2stuff: 575ms
      itlt: 574ms
      contenttweaker: 552ms
      tetra: 551ms
      unidict: 509ms
      actuallyadditions: 493ms
      tombstone: 481ms
      spark: 470ms
      patchouli: 460ms
      arcanearchives: 459ms
      rustic: 441ms
      inspirations: 436ms
      ftbquests: 409ms
      skyresources: 406ms
      scavenge: 388ms
      headcrumbs: 361ms
      chiselsandbits: 355ms
      hwell: 353ms
      ftblib: 350ms
      cookingforblockheads: 346ms
      endercore: 328ms
      bonsaitrees: 316ms
      artisanworktables: 315ms
      xnet: 307ms
      mysticalworld: 272ms
      mechanics: 257ms
      alchemistry: 254ms
      ftbutilities: 250ms
      bdlib: 237ms
      enderioinvpanel: 217ms
      darkutils: 213ms
      solcarrot: 206ms
      chisel: 202ms
      pickletweaks: 200ms
      cofhcore: 196ms
      buildinggadgets: 192ms
      storagedrawers: 191ms
      universaltweaks: 186ms
      enderioconduits: 181ms
      mputils: 180ms
      llibrary: 172ms
      dropt: 163ms
      architecturecraft: 162ms
      base: 160ms
      mpbasic: 154ms
      theoneprobe: 146ms
      forge: 142ms
      randompatches: 142ms
      hearthstones: 141ms
      ctm: 140ms
      smoothfont: 130ms
      enderiopowertools: 129ms
      rsgauges: 119ms
      carryon: 106ms
      integrationforegoing: 102ms
      waterstrainer: 92ms
      mcjtylib_ng: 88ms
      gbook_snapshot: 87ms
      openglider: 80ms
      custommainmenu: 77ms
      gamestages: 75ms
      craftingtweaks: 70ms
      reactorbuilder: 69ms
      sledgehammer: 68ms
      topography: 68ms
      placebo: 67ms
      discordcraft: 67ms
      classicbar: 67ms
      itemfilters: 66ms
      blockdrops: 65ms
      vaultopic: 62ms
      vanillasatchels: 61ms
      reauth: 61ms
      forbidden_arcanus: 59ms
      xencraft: 58ms
      essentials: 57ms
      baubles: 57ms
      akashictome: 55ms
      mantle: 55ms
      jeresources: 54ms
      oreexcavation: 54ms
      betterbuilderswands: 53ms
      moreoverlays: 48ms
      mousetweaks: 46ms
      enderioconduitsappliedenergistics: 41ms
      pillar: 41ms
      supersoundmuffler: 40ms
      loottweaker: 39ms
      bookshelf: 36ms
      wanionlib: 35ms
      appleskin: 35ms
      telepastries: 34ms
      betteradvancements: 32ms
      valkyrie: 31ms
      cucumber: 31ms
      elevatorid: 27ms
      immersivecables: 27ms
      inworldcrafting: 26ms
      worldstripper: 26ms
      stonechest: 26ms
      vintagefix: 25ms
      autoreglib: 25ms
      waddles: 25ms
      defaultoptions: 24ms
      netherchest: 23ms
      simple_trophies: 23ms
      kleeslabs: 22ms
      modelloader: 21ms
      extraanvils: 20ms
      craftingstation: 20ms
      applecore: 20ms
      teslacorelib_registries: 20ms
      speedyhoppers: 18ms
      morpheus: 18ms
      crafttweakerjei: 17ms
      controlling: 17ms
      athenaeum: 17ms
      morecharcoal: 15ms
      enderiointegrationforestry: 14ms
      modnametooltip: 14ms
      ctgui: 13ms
      ftbbackups: 13ms
      enderioendergy: 13ms
      loliasm: 13ms
      bnbgaminglib: 13ms
      endertweaker: 11ms
      chameleon: 11ms
      recipestages: 11ms
      jeiintegration: 10ms
      enderiointegrationtic: 9ms
      jee: 9ms
      rebind_narrator: 9ms
      speedyladders: 8ms
      alib: 8ms
      tipthescales: 8ms
      enderioconduitsopencomputers: 8ms
      redstoneflux: 7ms
      resourceloader: 6ms
      initialinventory: 6ms
      gunpowderlib: 6ms
      enderioconduitsrefinedstorage: 6ms
      enderiobase: 5ms
      glacialawakeningtweaks: 5ms
      naturestopography: 4ms
      ding: 4ms
      modtweaker: 3ms
      mtlib: 2ms
      loadingprofiler: 2ms
      enderiointegrationticlate: 1ms
      startuptimer: 1ms
      jetif: 1ms
      minecraft: 1ms
      redcore: 1ms
      alfheim: 1ms
      configanytime: 0ms
      mixinbooter: 0ms
      smoothfontcore: 0ms
      mcp: 0ms
      bnbgamingcore: 0ms
Class Transformer Profiling Results:
   Transformer Specific
      net.minecraftforge.fml.common.asm.transformers.EventSubscriptionTransformer: 3560ms
      net.minecraftforge.fml.common.asm.transformers.SideTransformer: 1954ms
      net.minecraftforge.fml.common.asm.transformers.EventSubscriberTransformer: 771ms
      com.enderio.core.common.transform.SimpleMixinPatcher: 719ms
      invtweaks.forge.asm.ContainerTransformer: 682ms
      io.dogboy.serializationisbad.legacyforge.SIBTransformer: 171ms
      net.ilexiconn.llibrary.server.core.patcher.LLibraryRuntimePatcher: 168ms
      com.bloodnbonesgaming.bnbgamingcore.core.BNBGamingCoreClassTransformer: 129ms
      vazkii.quark.base.asm.ClassTransformer: 115ms
      squeek.applecore.asm.TransformerModuleHandler: 106ms
      com.therandomlabs.randompatches.core.RPTransformer: 76ms
      bre.smoothfont.asm.Transformer: 76ms
      appeng.core.transformer.AE2ELTransformer: 68ms
      team.chisel.ctm.client.asm.CTMTransformer: 39ms
      blusunrize.immersiveengineering.common.asm.IEClassTransformer: 25ms
   Class Specific
      net.minecraft.client.Minecraft: 66ms
      kotlin.collections.ArraysKt: 58ms
      mekanism.client.gui.element.gauge.GuiGauge: 48ms
      net.bdew.lib.network.NetChannel: 40ms
      net.minecraftforge.fml.common.versioning.DependencyParser: 38ms
      mod.acgaming.universaltweaks.bugfixes.entities.skeleton.mixin.UTSkeletonAimMixin: 36ms
